subject,exp,expgroup,change_point
0,lnnoise,band,230.45535920729182
0,noise,band,139.95773448596623
0,cos,harmonic,234.85519566780513
0,random,harmonic,192.30204568339545
0,schröder,harmonic,218.31459213671388
0,38dB,level,208.51464131992563
0,44dB,level,174.8576935153485
0,50dB,level,139.95773448596623
0,56dB,level,126.56238095827271
0,highf,tone,321.9458778162359
0,lowf,tone,326.27328544728107
0,twotone,tone,330.33988120823085
1,lnnoise,band,234.75680952149025
1,noise,band,155.25058923481734
1,cos,harmonic,123.50967699982235
1,random,harmonic,136.26270543684262
1,schröder,harmonic,150.35743087611624
1,38dB,level,195.24185070057672
1,44dB,level,178.24220359536838
1,50dB,level,155.25058923481734
1,56dB,level,160.71432481139294
1,highf,tone,328.65568013441754
1,lowf,tone,318.65173310020515
1,twotone,tone,243.496195475147
2,lnnoise,band,188.99470607129342
2,noise,band,116.96867344654949
2,cos,harmonic,133.89276605527525
2,random,harmonic,170.04389306858934
2,schröder,harmonic,215.8111445568473
2,38dB,level,180.97603639444606
2,44dB,level,158.92377225745778
2,50dB,level,116.96867344654949
2,56dB,level,91.93096536134807
2,highf,tone,328.68572672517485
2,lowf,tone,345.53057062697263
2,twotone,tone,324.7283039189902
3,lnnoise,band,163.41474825746357
3,noise,band,102.9271896016692
3,cos,harmonic,74.57938093116064
3,random,harmonic,101.2164627524047
3,schröder,harmonic,125.17756212078446
3,38dB,level,143.87721191473494
3,44dB,level,120.29696586849713
3,50dB,level,102.9271896016692
3,56dB,level,89.52430428870859
3,highf,tone,332.1409191896875
3,lowf,tone,317.3602130180085
3,twotone,tone,281.91516221202573
4,lnnoise,band,202.21900783028073
4,noise,band,152.96994165641706
4,cos,harmonic,165.87470988129627
4,random,harmonic,213.45730843400358
4,schröder,harmonic,253.2658683013968
4,38dB,level,214.01069413191595
4,44dB,level,231.71549706609122
4,50dB,level,152.96994165641706
4,56dB,level,176.7507830078652
4,highf,tone,324.09718284640644
4,lowf,tone,337.6355229169272
4,twotone,tone,321.0498215370227
5,lnnoise,band,181.8311459492741
5,noise,band,101.05981502513688
5,cos,harmonic,144.40696836915663
5,random,harmonic,160.09865479550734
5,schröder,harmonic,188.223358310676
5,38dB,level,168.8440509792754
5,44dB,level,146.6563037346815
5,50dB,level,101.05981502513688
5,56dB,level,88.42050698126334
5,highf,tone,329.9550325123658
5,lowf,tone,331.41294164703316
5,twotone,tone,333.5273581422519
6,lnnoise,band,324.02188682534546
6,noise,band,236.51937806514957
6,cos,harmonic,178.75048207568852
6,random,harmonic,273.3108313457224
6,schröder,harmonic,330.6659114262691
6,38dB,level,318.69647790715
6,44dB,level,294.83641315812696
6,50dB,level,236.51937806514957
6,56dB,level,229.80633204358793
6,highf,tone,331.1473950923018
6,lowf,tone,335.0358619897885
6,twotone,tone,342.25149644645916
