subject,bw,p_right,exp,expgroup
0,0.0,0.0,lnnoise,band
0,40.0,0.0,lnnoise,band
0,80.0,0.0,lnnoise,band
0,120.0,0.025,lnnoise,band
0,160.0,0.025,lnnoise,band
0,200.0,0.25,lnnoise,band
0,240.0,0.65,lnnoise,band
0,280.0,0.85,lnnoise,band
0,320.0,0.95,lnnoise,band
0,360.0,0.975,lnnoise,band
0,400.0,0.975,lnnoise,band
0,440.0,0.975,lnnoise,band
0,480.0,1.0,lnnoise,band
0,0.0,0.0,noise,band
0,40.0,0.0,noise,band
0,80.0,0.125,noise,band
0,120.0,0.25,noise,band
0,160.0,0.75,noise,band
0,200.0,0.925,noise,band
0,240.0,0.975,noise,band
0,280.0,0.975,noise,band
0,320.0,1.0,noise,band
0,360.0,1.0,noise,band
0,400.0,1.0,noise,band
0,440.0,1.0,noise,band
0,480.0,1.0,noise,band
0,0.0,0.0,cos,harmonic
0,40.0,0.0,cos,harmonic
0,80.0,0.1,cos,harmonic
0,120.0,0.125,cos,harmonic
0,160.0,0.3,cos,harmonic
0,200.0,0.35,cos,harmonic
0,240.0,0.525,cos,harmonic
0,280.0,0.675,cos,harmonic
0,320.0,0.825,cos,harmonic
0,360.0,0.925,cos,harmonic
0,400.0,0.825,cos,harmonic
0,440.0,0.975,cos,harmonic
0,480.0,1.0,cos,harmonic
0,0.0,0.0,random,harmonic
0,40.0,0.05,random,harmonic
0,80.0,0.175,random,harmonic
0,120.0,0.3,random,harmonic
0,160.0,0.525,random,harmonic
0,200.0,0.65,random,harmonic
0,240.0,0.575,random,harmonic
0,280.0,0.775,random,harmonic
0,320.0,0.8,random,harmonic
0,360.0,0.925,random,harmonic
0,400.0,0.875,random,harmonic
0,440.0,0.975,random,harmonic
0,480.0,1.0,random,harmonic
0,0.0,0.0,schröder,harmonic
0,40.0,0.075,schröder,harmonic
0,80.0,0.1,schröder,harmonic
0,120.0,0.325,schröder,harmonic
0,160.0,0.375,schröder,harmonic
0,200.0,0.625,schröder,harmonic
0,240.0,0.55,schröder,harmonic
0,280.0,0.625,schröder,harmonic
0,320.0,0.65,schröder,harmonic
0,360.0,0.825,schröder,harmonic
0,400.0,0.9,schröder,harmonic
0,440.0,0.975,schröder,harmonic
0,480.0,0.975,schröder,harmonic
0,0.0,0.0,38dB,level
0,40.0,0.025,38dB,level
0,80.0,0.025,38dB,level
0,120.0,0.25,38dB,level
0,160.0,0.325,38dB,level
0,200.0,0.575,38dB,level
0,240.0,0.5,38dB,level
0,280.0,0.825,38dB,level
0,320.0,0.825,38dB,level
0,360.0,0.925,38dB,level
0,400.0,1.0,38dB,level
0,440.0,1.0,38dB,level
0,480.0,1.0,38dB,level
0,0.0,0.0,44dB,level
0,40.0,0.025,44dB,level
0,80.0,0.1,44dB,level
0,120.0,0.2,44dB,level
0,160.0,0.4,44dB,level
0,200.0,0.725,44dB,level
0,240.0,0.825,44dB,level
0,280.0,0.9,44dB,level
